name,image_url,main_tag,description
Drumstick Leaves Kadhi Pakora Recipe - Moringa Kadhi Pakora,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Drumstick_Leaves__Kadhi_Pakoda.jpg,"northindian lunch vegetarian  moringamurungaikeerai, besan, haldi, caromseeds, hing, dahiyogurt, besan, haldi, raikadugu, dalchini, dhania  ",The Moringa Kadhi Pakora comforting spicy yogurt based curry cooked with pakora that is cooked  along with drumstick leaves and tempered with cumin seeds and green chilli. 
Bajra Aloo Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Bajra_Aloo_Paratha.jpg,"indian lunch vegetarian  pearlmillet, aloo, fenugreekleaves, haldi, jeera, caromseeds  ",Bajra is known to provide heat to the body and so the consumption of this grain in any form is usually done in winters. Bajra Aloo Paratha is one such delicacy which is very delicious and healthy and is made using millet flour which is flavoured with potato and seasoned with spices to enhance more of the flavours. It is an easy-to-cook recipe and can be served on its own or with any chutney of your choice. Bajra Aloo Paratha makes a perfect healthy breakfast for winters and an ideal meal to be carried in a lunch box.
Malvani Kurkuri Bhindi Recipe - Moongphali Bhindi Sabzi,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Malvani_Bhindi_Masala_Recipe_Moongphali_Bhindi_Sabzi-2.jpg,"malvani dinner vegetarian  ladyfingerokra, moongphali, dhania, jeera, saunf, raikadugu, caromseeds, hing, dalchini, laung, badielaichi  ",Malvani Kurkuri Bhindi Recipe is a delicious lady finger recipe using the aromatic malvani masala from the coastal region of Maharashtra. The malvani masala is pungent and quite aromatic as compared to the regular garam masala.
Arbi Shimla Mirch Sabzi Recipe – Colocasia Capsicum Sabzi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Simla_Mirchi_Arbi_Sabzi_Recipe__Capsicum__Colocasia_Dry_Curry_.jpg,"northindian maincourse noonionnogarlic  arbi, capsicum, dhania, haldi  ",Arbi Shimla Mirch Sabzi Recipe is a variation to the aloo capsicum dry sabzi that is made often at our households.
Chicken Sholay Kebab Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/poojanadkarni/Chicken_Sholay_Kebab_Recipe_4_1600.jpg,"southindian appetizer nonvegeterian  maida, besan, jeera, dhania  ","Chicken Sholay Kebab Recipe is a finger licking good kebab made with boneless chicken, that is popular in South India. In this recipe, Chicken is coated in a spicy purpose flour, gram flour and rice flour batter which is flavored with some spices and then deep fried in hot oil. "
Beetroot Paneer Curry Recipe In Coconut Milk,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Beetroot_and_Paneer_Curry_Recipe_in_Coconut_Milk-1.jpg,"indian maincourse vegetarian  homemadecottagecheese, haldi, dhania  ","Beetroot and Paneer Curry in Coconut milk is a delicious combination of steamed beetroot and paneer. It makes a perfect curry to be served along with rice or even phulka's. The flavors of the vegetable have lovely South Indian notes, with the addition of curry leaves and ginger along with baby onions."
Sankara Meen Kuzhambu Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/KarthikaKrishnan/Sankara_Meen_Kuzhambhu.jpg,"tamilnadu lunch highproteinnonvegetarian  malabartamarind, raikadugu, patharphoolblackstoneflower, saunf, jeera, haldi, dhania  ","Red Snapper is widely available fish and named after its snapping teeth. It’s fine texture and delicate flavor makes it unique. The fish can be broiled, grilled, pan-fried, steamed or can prepared curry. Sankara Meen Kuzhambu is prepared by simmering fish pieces with grounded masalas. The curry tastes delicious with plain white rice. This low-calorie fish is a great source of lean protein, potassium, and omega -3 fatty acids."
Dim Posto Recipe - Bengali Egg Curry With Poppy Seeds,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/usashis-gmail.com/Hasher_Dim_Posto__Duck_egg_curry_with_poppy_seed_paste.jpg,"bengali dinner eggetarian  aloo, haldi, tejpatta  ",Dim Posto is a delicious Bengali Style Egg Curry which has a spicy poppy seed masala and simmered in spices. It is an easy to make and delicious dish that is usually served along with Steamed Rice. 
Panasa Pottu Aava Koora Recipe - Andhra Style Mustard Flavoured Raw Jackfruit Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anu.mallajosyula-gmail.com/Panasapottu_Aavakura.jpg,"andhra sidedish diabeticfriendly  kathal, raikadugu, split, bengalgramdal, hing, haldi, raikadugu, tilseeds  ","Panasa Pottu Ava Koora Recipe is shredded Raw Jackfruit cooked in a flavoursome mustard coconut masala, that is essentially Andhra Style."
Mixed Vegetable Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Mixed_Vegetable_Pulav_Recipe-3.jpg,"indian dinner vegetarian  laung, elaichi, dalchini, tejpatta, pudina, frenchbeans, gobi, gajjar  ",The Mixed Vegetable Pulao Recipe is a simple and quick to cook dish for the busy weeknights. Pack the pulao with lots of steamed vegetables as it gives you the required nutrition for the day. You can also pack this for your Lunch Box in the morning.
Kashmiri Kokur T Nadir Recipe-Chicken and Lotus Stem Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaheen_ali/Kashmiri_Kokur_t_Nadir__Chicken_and_Lotus_Steam_.jpg,"kashmiri lunch highproteinnonvegetarian  nadruorkamalkakdi, tejpatta, saunf, badielaichi, laung, jeera, hing, dahiyogurt, pudina, caromseeds, dhania  ","Kashmiri Kokur T Nadir is an authentic Chicken curry with lotus stem that belongs to Kashmiri Cuisine. It's a kind of yakhni that is made with chicken and nadru/lotus stem. Ideally enjoyed with rice and roti, this chicken curry is aromatic and full of Kashmiri flavours. "
Punjabi Style Lobia Masala Recipe (Black Eyed Peas Masala),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Punjabi_style_lobia_masalaBlack_eyed_Peas_Masala_in_Punjabi_Style.jpg,"punjabi lunch highproteinvegetarian  lobia, jeera, saunf, dalchini, haldi, dhania, jeera  ",Punjabi Style Lobia Masala is a very simple and quick recipe which can be made in a jiffy on the weekdays. This recipe is tasty and high in protein and can be served even when you have guests at your home for a sudden dinner.
Cabbage & Buttermilk Curry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Chatori_Ladki/Cabbage__Buttermilk_Curry.jpg,"indian lunch glutenfree  pattagobimuttaikose, raikadugu, hing, haldi, dahiyogurt, besan  ","Cabbage & Buttermilk Curry Recipe is one of my mother’s creation adapted from Gujarati kadi recipe. To prepare the curry, spicy buttermilk is mixed with seasoned shredded cabbage.This easy and healthy buttermilk curry is great when had with hot chapati, phulka or plain cooked rice."
Spicy Baby Potatoes Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/SPICY_BABY_POTATOES.jpg,"northindian lunch vegetarian  jeera, dhania, haldi, jeera, drymangopowder, dhania  ","Who doesn't like potatoes? I love potatoes in all forms. This is one such humble root that mixes with everything and adapt it's flavor. Those days when you have nothing in your fridge, there comes the potato as rescue."
Konkani Style Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Maskasangi_Magge_Kodel_Recipe_Drumstick_and_Mangalore_Cucumber_Curry.jpg,"konkan lunch vegetarian  haldi, dhania  ","Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry, Koddel one of the traditional curry made by people in the Konkan region. Koddel is basically a coconut and dry red chilli gravy that seasoned with good amount of garlic. The vegetable that is being added into the curry may vary depending on the seasonal produce. It is usually the mangalore cucumber that are locally available and it is accompanied with lentils like horse gram or black eyed peas."
Karnataka Style Beetroot Palya Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Karnataka_Style_Beetroot_Palya_Recipe.jpg,"karnataka sidedish vegetarian  raikadugu, hing  ",Karnataka Style Beetroot Palya Recipe is a simple beetroot stir fry with aromatic sambar masala. It is also mildly flavoured with garlic cloves pounded with freshly grated coconut.
Whole Wheat Lachha Paratha Recipe-Multilayered Layered Indian Flat Bread,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Whole_Wheat_Laccha_Paratha_Layered_North_Indian_Flat_Bread_Recipe_Healthy_Vegetarian-5.jpg,indian dinner diabeticfriendly  ,"The Whole Wheat Lachha Paratha Recipe is a classic Indian Layered Flat bread that is most often made with maida or all purpose flour. This recipe of Lachha Paratha is healthy and is made from pure whole wheat chakki atta . Different regions of Indian call it by different names, from lachha paratha to kerala paratha. The layers in the paratha, gives it a crisp touch and also makes it a great bread to serve with any gravy dishes. "
Baked Amritsari Kulcha Recipe (Without Yeast),https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/Baked_Amritsari_Kulcha_Recipe_Without_Yeast-1.jpg,"punjabi dinner vegetarian  maida, dahiyogurt, tilseeds, dhania, salted  ","Kulcha is a type of mildly leavened flatbread that originated in the Indian subcontinent. It is a variation of Naan. Kulcha is a essentially a Punjabi dish, invented as a local version of the naan which was brought into Punjab. Here I'm making baked kulcha without yeast and that turned out really delicious trust me! Serve it hot in your dinner with Punjabi Chole!"
Lobia Masala Recipe (Black Eyed Bean Curry) - Roz Ka Khana With Figaro Olive Oil,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/0-Archana/11-long-format-Punjabi_Lobia_Masala_Figaro_Olive_Oil-2.jpg,"northindian dinner highproteinvegetarian  lobia, jeera, dalchini, haldi, dhania, dhania  ","Lobia Masala is also known as Chora nu Shaak in Gujarati, is a favorite family dish. Black-eyed bean is a versatile pulse that beautiful absorbs the spices added to it making it succulent and tasty. This bean is packed with proteins and micronutrients, is low in saturated fat and is a good source of dietary fiber."
Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry ,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-26/Bengali_Kosha_Mangsho_Mutton_Curry_Recipe-1.jpg,"bengali lunch nonvegeterian  aloo, optional, laung, dhania, jeera, haldi, dhania, jeera, dahiyogurt, raikadugu, dalchini, elaichi, tejpatta  ","Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry Recipe is a flavor packed Indian curry made with mutton pieces in a pressure cooker. The spices used in this dish, very well combine and go along with the mutton flavor."
Curd Oats Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Curd_Oats_Recipe.jpg,"indian lunch vegetarian  oatmeal, dahiyogurt, bengalgramdal, raikadugu, hing  ",Curd Oats Recipe is a delicious and creamy oatmeal dish cooked and mixed with cold silken curd and tempered with simple south indian spices. It is similar to curd rice with less calories. 
Baked Modak and Karanji/Gujiya Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Nadkarni/Baked_Modak_and_Karanji_1600.jpg,"indian dessert vegetarian  maida, semolinarava, elaichi  ","Since Ganesh Chaturthi is coming closer, few of the health freaks like me must be wondering, how to prepare some healthy snacks. So here is the tried and tested recipe of baked modak and karanji. These are healthy and tasty at the same time. So this festival try these snacks and we are sure you will love it."
Alugadde Batani Gasi Recipe - Potatoes And Peas Gassi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Alugadde_Batani_Gasi_Recipe_Potatoes_And_Peas_Gassi_2_1600.jpg,"udupi maincourse vegetarian  split, jeera, dhania, haldi, raikadugu, matar, aloo  ","Alugadde Batani Gasi Recipe is a delicious Udupi style coconut based potatoes and green peas curry. Udupi cuisine uses a lot of coconut, and the curries are flavoured with the freshly ground masalas which gives it a distinctive flavour."
Lauki Chana Dal Recipe | Dudhi Chana Dal |  High Protein Bottle Gourd Lentil Curry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Lauki_Chana_Dal_recipe_North_indian_high_protein_1_1600.jpg,"gujarati﻿ sidedish diabeticfriendly  bengalgramdal, haldi, tejpatta, lauki, haldi, dhania, jeera  ",Lauki Chana Dal is a nutritious recipe that combined the Bottle Gourd and lentils making it a perfect dish for a wholesome lunch or dinner. Lauki is also known as Doodhi or Giya and one of my favorite dishes while growing up.
Thakkali Vengaya Sambar Recipe - Tomato Onion Sambar,https://www.archanaskitchen.com/images/archanaskitchen/south_indian/Thakkali_Vengayam_Sambar_Tomato_Onion_Recipe_South_Indian-1.jpg,"southindian lunch highproteinvegetarian  splittoordal, sambaronions, raikadugu, hing, gingelly, dhania  ","Thakkali Vengaya Sambar which is also called as Tomato Onion Sambar is a light sweet, spicy and tangy dish made from tomato, small sambar onions and the homemade sambar powder."
Chettinad Sura Meen Kuzhambu Recipe (Shark Fish Curry),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/CHETTINAD_SURA_MEEN_KUZHAMBU__SHARK_FISH_CURRY.jpg,"chettinad lunch highproteinnonvegetarian  withskin cutintomediumpieces, dhania, haldi, jeera, saunf, raikadugu, jeera  ","Chettinad Sura Meen Kuzhambu aka Shark Fish Curry is a quintessential curry dish from the South Indian Cuisine that goes with Chettinad spices hence it's hot and spicy with the flavours. Typically eaten with plain steamed rice, Shark fish curry is a popular curry dish in entire South India specially Tamil Nadu and Kerala. Shark fish is great in taste and it's believed to be good for breastfeeding mothers as it increases milk supply for the new born. But shark fish also increase body heat, so its suggested to consume in wisely."
Maharashtrian Gopalkala Recipe (Curd Poha With Fruits),https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/19-Jan/Maharashtrian_Gopalkala_Recipe_Curd_Poha_With_Fruits-3.jpg,"maharashtrian indianbreakfast vegetarian  flattenedrice, dahiyogurt, pomegranateseedpowder, moongphali, jeera  ","Gopalkala is a beaten rice recipe mixed with curd, pomegranate and cucumber. Gopalkala is a prashad recipe that is specially made on Krishna Janmashtami. In Maharashtrian households, mothers make gopalkala with seasonal fruits to feed it to kids. This bean rice poha with fruits in curd, can be served for breakfast or as an afterschool snack."
Bhaat Na Muthiya Dhokla Recipe | Gujarati Farsan | Snack,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Bhaat_Na_Muthia_Dhokla_recipe_4.jpg,"gujarati﻿ indianbreakfast vegetarian  leftoverricecanbeused, besan, haldi, hing, dhania, lauki, raikadugu, tilseeds, dhania  ",Bhaat na Muthiya Dhokla Recipe is a staple dish of every Gujarati kitchen home and every home has ways to invent dishes that can be made from leftover rice. Muthiya a common staple in every Gujarati home is made by steaming dumplings of mashed rice combined with vegetables and spices.
Maharastrian Kairichi Amti Recipe - Raw Mango Curry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Maharastrian_Kairichi_Amti_Recipe_Raw_Mango_Curry_Recipe_1_1600.jpg,"maharashtrian sidedish vegetarian  jeera, dhania, fenugreekseeds, raikadugu, haldi, raw  ",Maharashtrian Kairichi Amti Recipe (Gravied Green Mango) is a wonderful curry made with tangy raw mango that stewed in some spicy coconut curry.
"Beetroot, Aloo & Amaranth Leaves Sabzi Recipe",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Beetroot_Aloo_Amarath_Leaves_Sabzi_recipe_6-2_1600.jpg,"northindian sidedish vegetarian  raikadugu, jeera, hing, haldi, dhania  ","Beetroot, Aloo & Amaranth Leaves Sabzi Recipe, has all the good ingredients in one dish. The sabzi is simply tossed with hing, tempered cumin seeds and flavoured with red chilli powder, coriander powder and garam masala powder."
Dal Palak Recipe With Moong & Masoor Dal,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Dal_Palak_Recipe_Healthy_Spinach_Lentil_Curry-2.jpg,"northindian sidedish highproteinvegetarian  split, whole, palak, haldi, jeera, jeera  ",Dal Palak Recipe is a nutritious and wholesome dish that is rich in proteins and minerals. This recipe is made from fresh steamed spinach that is mixed along with cooked lentils and spices to make a delectable combination. The addition of a ghee tadka (seasoning) along with cumin and red chillies adds to flavour of the Dal Palak Recipe.
Stuffed Mooli Paratha Recipe (Radish Flat Bread),https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/0-Archana/7_short_format_Stuffed_mooli_Paratha_Video_Figaro_Olive_Oil_recipe-1.jpg,"northindian indianbreakfast diabeticfriendly  radish, jeera, besan, optional, dhania  ","Stuffed Mooli Paratha Recipe is simple, wholesome healthy recipe that is made from grated white radish along with some spices is stuffed in a whole wheat flour dough. Stuffed Mooli paratha can be served for breakfast or any other meal, all throughout the year. "
Paneer Tikka Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/PANEER_TIKKA_PULAO_1600.jpg,"northindian lunch vegetarian  jeera, elaichi, dalchini, laung, tejpatta, haldi, homemadecottagecheese, dahiyogurt, besan, driedfenugreekleaves  ",Paneer Tikka Pulao is a simple one pot meal that is prepared by cooking marinated and pan roasted Paneer tikka along with rice and spices in a pressure cooker.
Bharwa Karela Makhani  Recipe - Stuffed Karela Masala Gravy ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Bharwa_Karela_Masala_Recipe__Stuffed_Karela_In_Gravy_.jpg,"northindian maincourse diabeticfriendly  bittergourdpavakkai, homemadecottagecheese, aloo, dhania, pudina, dhania, jeera  ",Bharwa Karela Makhani Recipe is a delicious karela gravy recipe that can be relished by diabetics. 
Urulaizhilangu Podimas (South Indian Style Potato Mash),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/urulaizhilangu_Podimas_South_Indian_Style_Potato_Mash.jpg,"southindian lunch vegetarian  aloo, raikadugu, split, hing  ",Urulaizhilangu Podimas is a very popular recipe from Tamil Nadu. It is also a simple recipe to cook and serve in no time. It is mildly spiced and is a perfect dish to be had along with Plain Rice and Rasam on a rainy day. It uses very little oil and spice making it a healthier choice to even pack it in kids lunch box. Serve this amazing Urulaizhilangu Podimas with Steamed Rice and Tomato Rasam or Sambar for the weeknight dinner along with some roasted papads.
Mullangi Mor Pachadi Recipe (Radish in spicy tempered Yogurt Gravy Recipe),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mullangi_Mor_Pachadi_Recipe_Radish_in_spicy_tempered_Curd_Gravy_Recipe.jpg,"tamilnadu lunch vegetarian  radish, greekyogurt, raikadugu, split, hing  ",Mullangi Mor Pachadi Recipe (Radish in spicy tempered Curd Gravy Recipe) is a wonderful way to add radish in curd to make a spicy curry. The sourness from the curd complements well with the flavor of the radish. Radish is a diabetic friendly vegetable as it is considered as one of the nutritional root vegetable. It is rich in Vitamin C and minerals such as iron and magnesium.
Raw Banana and Banana Stem Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Raw_Banana_and_Banana_Stem_Stuffed_Paratha_Recipe.jpg,"indian lunch diabeticfriendly  jeera, haldi, drymangopowder  ","Raw Banana and Banana Stem Stuffed Paratha Recipe is a super healthy stuffed Indian bread that contains two ingredients that have a good nutritional value. Parathas are a staple breakfast for most of the North Indian people. It is usually made with Aloo, onion or paneer as a stuffing. But it is very rare to use raw banana and raw stem in a stuffed paratha, here in this recipe we have put them together in one dish that is made super delicious and can be had without any guilt as your morning breakfast."
Chicken Kappa Biryani Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_Kappa_Biryani_Recipe.jpg,kerala lunch nonvegeterian  haldi  ,Chicken Kappa Biryani Recipe is an authentic Kerala recipe to which we have added a twist by using chicken instead of beef. Most of us are aware of Biryani made with any type of rice but in Kerala since tapioca is consumed a lot.
Stuffed Gilka Recipe (Maharashtrian Style Stuffed Silk Squash),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/madhulia/Stuffed_Gilka_Maharashtrian_style_stuffed_Silk_Squash.jpg,"maharashtrian lunch vegetarian  spongesilksquash, jeera, dhania, chopped, haldi, hing  ","Stuffed Gilka is a spicy, flavourful side dish that takes the humble Gilka (silk squash) to another level. The spiced filling mixture is versatile and can be used to stuff other vegetables like brinjals, potatoes, okra etc."
Chocolate Rava Ladoo Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Chocolate_Rava_Ladoo_Recipe_17_1600.jpg,"indian dessert vegetarian  semolinarava, badam, elaichi  ","Chocolate Rava Ladoo Recipe, sounds interesting, isn't it? Chocolate, all time favourite of kids and these ladoo are a superb snack for them and even the adults who enjoy it as much as the kids. These ladoos are easy to make, and are full of nuts. The rava is roasted and mixed along with almond powder, roasted raisins and cashews and cocoa powder. They are wholesome and a great snack to have to give you the right boost of energy."
Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Dubki_Wale_Aloo.jpg,"northindian lunch vegetarian  aloo, dhania, haldi, drymangopowder, fenugreekseeds, jeera, driedfenugreekleaves, hing  ","Dubki Wale Aloo Recipe as it is called in Mathura, Uttar Pradesh, is a spicy gravy of potatoes is famously eaten along with puris. It is a no-onion-no-garlic recipe which makes it perfect for fasting too. Popularly eaten at breakfast time along with puris, it also makes a delicious side dish for lunch with Parathas and a Pumpkin Dal with Garlic Tadka. Serve it either for lunch or dinner, or even as part of an Indian style weekend brunch, or festival meal."
Masaledar Moongphali Til Wale Aloo Recipe ,https://www.archanaskitchen.com/images/Khatte_Moongphali_Aloo_Masala_Recipe_Spicy_And_Tangy_Peanut_And_Potato_Roast-1_1600.jpg,"northindian sidedish vegetarian  tilseeds, moongphali, jeera, jeera, dhania, pudina  ","Masaledar Moongphali Tilwale Aloo, is a dry side dish made using baby potatoes cooked along with the skin, where the potatoes are first boiled and then pan fried with some ginger garlic and everyday masalas, finished with a squeeze of fresh lemon juice. "
Green Moong Dal Paratha Recipe - Stuffed Lentil Flatbread,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Moong_Dal_Paratha_Stuffed_Lentil_Flat_Bread-1-2.jpg,"northindian northindianbreakfast highproteinvegetarian  split, haldi, jeera, dhania  ","The Green Moong Dal Paratha recipe a healthy and delicious flat bread that is stuffed with a flavourful cooked green moong dal, onion, green chillies, ginger and coriander leaves filling. It is minimally spiced with cumin powder and coriander powder which lends a great taste to the moong dal stuffing .The Moong Dal Paratha is a perfect way to add the proteins to your diet. Have it for dinner or a sunday brunch and enjoy the goodness of the lentils with your family."
Lagan Ki Machli Recipe - Delicious Pomfret Curry ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Lagan_Ki_Machli_Recipe_With_Pan_Fried_Pomfret-1_1600.jpg,"indian maincourse nonvegeterian  haldi, jeera, dalchini, dhania, jeera, dahiyogurt, dhania  ",Lagan Ki Machli Recipe is a lovely fish curry made with a fresh pomfret fish. 
Tamatar Wali Arbi Sabzi Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Tamatar_Wali_Arbi_Sabzi_Recipe.jpg,"northindian lunch vegetarian  arbi, dhania, haldi, dhania  ",Tamatar Wali Arbi Sabzi Recipe is a delicious dry sabzi recipe made with Colocasia. The par boiled colocasia is shallow fried and tossed in a garlic and tomatoes gravy flavoured with panch phoran masala. The panch phoran lends a beautiful flavour and texture to the dish.
Chettinad Style Prawn Biryani Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/CHETTINAD_STYLE_PRAWN_BIRYANI.jpg,"chettinad lunch nonvegeterian  greekyogurt, dhania, haldi, elaichi, badielaichi, dalchini, tejpatta, jeera  ","Chettinad Style Prawn Biryani Recipe is a South Indian version that is cooked with assorted spices and given the authentic Chettinad flavors by a wide usage of shallots, black pepper and coconut. Chettinad of cooking is an integral part of South Indian Cuisine, the rustic flavors of South India brings and amazing texture, flavor, and aroma to the food preparations. Chettinad spices are used both in vegetarian and nonvegetarian cooking and leave an equal impact on both versions. Typically served with raita, Chettinad style Prawn Biryani is a complete and a wholesome meal in itself."
Layered Vegetable Tricolor Biryani Recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Tri_Color_Biryani_Recipe_For_Indian_Independance_Day_Carrot_Palak_and_Coconut_Rice-14_1600.jpg,"northindian lunch vegetarian  frenchbeans, gajjar, laung, dalchini, elaichi, tejpatta, haldi, dahiyogurt, pudina, aloo, palak, pudina, jeera, dalchini  ",The Layered Tricolour Biryani recipe is a combination of colors of the made with natural vegetable ingredients.
Chicken Wings With Bhuna Masala Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_Wings_With_Bhuna_Masala_Recipe_.jpg,"indian appetizer highproteinnonvegetarian  haldi, jeera  ",Chicken Wings With Bhuna Masala Recipe is a Indian take on the crispy chicken wings. We have spiced it up with some Bhuna masala which is usually a base to all the curries. The masala contains almost all the spice flavor that you have from India. It has perfectly roasted onions and tomatoes mixed along with some flavor packed garam masala powder. The chicken wings are then baked in the hot oven till they crisp up over the top and soft and succulent on the inside.
Kadai Beans And Carrot Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Kadai_Beans_and_Carrot_Pulao_Recipe-1.jpg,"indian dinner vegetarian  laung, tejpatta, elaichi, frenchbeans, gajjar, jeera, haldi, pudina  ",The Kadai Beans and Carrot Pulao Recipe is a simple pulao that you can make in just about 30 minutes. All you need is some cooked rice and vegetables. Stir fry the vegetables along with the cooked rice in a Kadai and your Kadai Vegetable Pulao will be ready for a weeknight dinner.
Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/28-march/Tripura_Style_Kosoi_Bwtwi_Recipe_Green_Beans_and_Tofu_stir_fry-1.jpg,northeastindia sidedish highproteinvegetarian  frenchbeans  ,"Tripura Style Kosoi Bwtwi Recipe is a recipe from North East. Tripura Style Kosoi Bwtwi Recipe is a vegetarian delicacy with simple spices but protein rich tofu in it. The people from Tripura also use Shrimp sauce instead, that manages the protein content in the meal."
Kashmir Style Bom Chount/Wangan Recipe-Spicy Apple Brinjal Curry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/2-feb/Bom_Chount_-_Wangan_Recipe_Kashmiri_Apple_Brinjal_Curry-1.jpg,"kashmiri lunch vegetarian  bainganeggplant, jeera  ","Bom chount–Wangan recipe has a great importance in Kashmiri cuisine. It is prepared on festivals, ceremonies and other occasions. It is believed to be a rare combination and hence offered as a bhog to ancestors."
Kerala Style Vegetable Stew Recipe with Coconut Milk,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Kerala_Style_Mixed_Vegetable_Stew_Recipe-3.jpg,"kerala sidedish vegetarian  aloo, gajjar, frenchbeans, laung  ","The Kerala Style Vegetable Stew is a quick and simple recipe that is a staple dish from Kerala. The stew is very quick to make and loaded with lots of vegetables making it healthy and nutritious. The Vegetable Stew recipe is made with a combination of vegetables like boiled potatoes, carrots, beans, cauliflower peas etc. The combination of vegetables is purely your choice. This recipe is a mild stew that is delicately spiced with green chillies, flavored with curry leaves and coconut milk. The stew is also a dish that is served during the Onam Sadya meal of the Onam Festival and along with the famous Kerala Appams."
Rajasthani Dal Muthiya Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/daal_mutiye_1600.jpg,"rajasthani lunch highproteinvegetarian  split, haldi, hing, raikadugu, dhania, caromseeds  ",Rajasthani Dal Muthiya is a perfect and delicious combination of simple yellow mogar dal and fried whole wheat flour dumplings. This recipe is very similar to the Rajasthani dal baat but it has a different taste and flavour which makes it different from others.
